10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
250,231,379,351,308,260,109,61,42,12,1,250,481,860,1211,1519,1779,1888,1949,1991,2003,2004
181,157,314,260,249,195,74,44,30,10,0,181,338,652,912,1161,1356,1430,1474,1504,1514,1514
296,259,502,447,415,334,133,73,43,7,0,296,555,1057,1504,1919,2253,2386,2459,2502,2509,2509
413,402,840,743,599,455,188,99,45,16,2,413,815,1655,2398,2997,3452,3640,3739,3784,3800,3802
344,383,880,722,589,394,177,88,35,8,0,344,727,1607,2329,2918,3312,3489,3577,3612,3620,3620
355,433,832,628,586,397,140,112,42,20,0,355,788,1620,2248,2834,3231,3371,3483,3525,3545,3545
370,445,798,651,572,398,173,120,59,25,4,370,815,1613,2264,2836,3234,3407,3527,3586,3611,3615
431,505,801,642,571,455,208,107,53,14,1,431,936,1737,2379,2950,3405,3613,3720,3773,3787,3788
284,358,549,504,482,322,143,80,36,14,0,284,642,1191,1695,2177,2499,2642,2722,2758,2772,2772
534,615,1161,963,874,629,254,171,73,25,2,534,1149,2310,3273,4147,4776,5030,5201,5274,5299,5301
892,956,1912,1540,1380,892,367,250,112,34,3,892,1848,3760,5300,6680,7572,7939,8189,8301,8335,8338
857,923,2056,1573,1346,996,402,227,103,39,1,857,1780,3836,5409,6755,7751,8153,8380,8483,8522,8523
837,1007,2091,1594,1420,940,421,257,159,46,2,837,1844,3935,5529,6949,7889,8310,8567,8726,8772,8774
1061,1124,2129,1740,1535,1108,492,315,156,53,1,1061,2185,4314,6054,7589,8697,9189,9504,9660,9713,9714
1088,1254,1956,1630,1443,1048,519,325,164,52,2,1088,2342,4298,5928,7371,8419,8938,9263,9427,9479,9481
724,816,1276,1088,969,716,318,143,116,61,1,724,1540,2816,3904,4873,5589,5907,6050,6166,6227,6228
1309,1479,2310,1954,1827,1337,613,382,220,72,5,1309,2788,5098,7052,8879,10216,10829,11211,11431,11503,11508
1925,2198,3589,2879,2670,1907,874,483,255,93,2,1925,4123,7712,10591,13261,15168,16042,16525,16780,16873,16875
1595,1995,3801,2952,2721,1913,867,492,252,67,2,1595,3590,7391,10343,13064,14977,15844,16336,16588,16655,16657
1772,2393,4273,3180,3000,2364,982,636,362,88,5,1772,4165,8438,11618,14618,16982,17964,18600,18962,19050,19055
1962,2520,3974,3155,3027,2162,986,630,360,130,6,1962,4482,8456,11611,14638,16800,17786,18416,18776,18906,18912
1950,2559,3456,2848,2679,2123,1006,666,371,121,7,1950,4509,7965,10813,13492,15615,16621,17287,17658,17779,17786
1643,2005,2377,1954,1948,1350,639,416,252,98,8,1643,3648,6025,7979,9927,11277,11916,12332,12584,12682,12690
1285,1665,2090,1762,1684,1262,555,357,239,103,2,1285,2950,5040,6802,8486,9748,10303,10660,10899,11002,11004
2256,2865,3659,3298,3394,2449,1026,728,503,194,12,2256,5121,8780,12078,15472,17921,18947,19675,20178,20372,20384
3515,4449,6053,5336,5347,3722,1593,1002,621,203,9,3515,7964,14017,19353,24700,28422,30015,31017,31638,31841,31850
3526,4417,7230,6124,5890,3992,1753,1092,679,244,16,3526,7943,15173,21297,27187,31179,32932,34024,34703,34947,34963
3069,4054,6922,5623,5507,3827,1724,1090,622,232,9,3069,7123,14045,19668,25175,29002,30726,31816,32438,32670,32679
2595,3386,5699,4819,4546,3577,1638,1033,603,187,11,2595,5981,11680,16499,21045,24622,26260,27293,27896,28083,28094
2314,2893,4727,3723,3673,2590,1152,685,460,154,4,2314,5207,9934,13657,17330,19920,21072,21757,22217,22371,22375
3180,3861,5869,5272,5414,3996,1760,1113,746,317,15,3180,7041,12910,18182,23596,27592,29352,30465,31211,31528,31543
3037,3291,5532,4902,4933,3665,1628,1057,685,267,9,3037,6328,11860,16762,21695,25360,26988,28045,28730,28997,29006
3758,4319,8049,6960,7056,5259,2284,1446,911,319,14,3758,8077,16126,23086,30142,35401,37685,39131,40042,40361,40375
3272,3846,7389,6463,6421,4770,2101,1375,804,334,17,3272,7118,14507,20970,27391,32161,34262,35637,36441,36775,36792
3154,3544,6599,5790,5750,4247,1955,1219,843,312,19,3154,6698,13297,19087,24837,29084,31039,32258,33101,33413,33432
3050,3360,5861,5300,5411,4142,2009,1302,773,297,23,3050,6410,12271,17571,22982,27124,29133,30435,31208,31505,31528
2358,2403,4160,3579,3828,2797,1285,793,511,215,8,2358,4761,8921,12500,16328,19125,20410,21203,21714,21929,21937
2961,3091,5359,5254,5406,4246,1928,1303,921,343,17,2961,6052,11411,16665,22071,26317,28245,29548,30469,30812,30829
3957,3655,6679,6674,6979,5400,2445,1654,1060,403,20,3957,7612,14291,20965,27944,33344,35789,37443,38503,38906,38926
3350,3338,6613,6271,6328,4681,2102,1413,892,321,13,3350,6688,13301,19572,25900,30581,32683,34096,34988,35309,35322
3380,3450,7924,6684,6501,4855,2259,1387,909,390,19,3380,6830,14754,21438,27939,32794,35053,36440,37349,37739,37758
2885,2851,5916,5370,5388,4038,1972,1302,875,349,20,2885,5736,11652,17022,22410,26448,28420,29722,30597,30946,30966
1960,1825,3823,3636,3733,2734,1363,918,525,214,9,1960,3785,7608,11244,14977,17711,19074,19992,20517,20731,20740
